
Group Source   Router   Packets/Second
224.2.127.254            	147.32.132.122/32        	64.57.28.242      	   108
224.2.127.254              	147.32.132.122/32        	64.57.28.249      	   108
232.223.222.1            	193.17.9.3/32            	64.57.28.249      	    23
232.223.222.1            	193.17.9.3/32            	64.57.28.243      	    21
232.223.222.1            	193.17.9.3/32            	162.252.70.240    	    27
232.223.222.6            	193.17.9.3/32            	64.57.28.249      	   793
232.223.222.6            	193.17.9.3/32            	64.57.28.243      	   556
232.223.222.6            	193.17.9.3/32            	162.252.70.240    	   670
233.1.14.11              	198.116.200.37/32        	162.252.70.226    	   167
233.1.14.13              	198.116.200.36/32        	162.252.70.226    	   167
233.1.14.15              	198.116.200.37/32        	162.252.70.226    	   167
233.1.14.5               	198.116.200.36/32        	162.252.70.226    	   167
233.1.14.7               	198.116.200.37/32        	162.252.70.226    	   167
233.10.47.5              	193.87.0.250/32          	162.252.70.235    	   663
233.10.47.5              	193.87.0.250/32          	64.57.28.249      	   664
233.10.47.5              	193.87.0.250/32          	162.252.70.236    	   664
233.10.47.5              	193.87.0.250/32          	64.57.28.250      	   665
233.10.47.5              	193.87.0.250/32          	64.57.28.247      	   669
233.10.47.5              	193.87.0.250/32          	162.252.70.254    	   665
233.10.47.5              	193.87.0.250/32          	162.252.70.243    	   664
233.10.47.73             	194.160.9.4/32           	162.252.70.235    	   426
233.10.47.73             	194.160.9.4/32           	64.57.28.247      	   426
233.10.47.73             	194.160.9.4/32           	162.252.70.236    	   426
233.10.47.73             	194.160.9.4/32           	162.252.70.243    	   426
233.10.47.73             	194.160.9.4/32           	64.57.28.249      	   426
233.10.47.73             	194.160.9.4/32           	64.57.28.241      	   425
233.10.47.73             	194.160.9.4/32           	64.57.28.250      	   426
233.10.47.73             	194.160.9.4/32           	162.252.70.254    	   425
233.44.15.9              	129.174.131.51/32        	162.252.70.233    	  1139
233.44.15.9              	129.174.131.51/32        	64.57.28.249      	  1139
233.44.15.9              	129.174.131.51/32        	162.252.70.254    	  1139
233.44.15.9              	129.174.131.51/32        	64.57.28.242      	  1139
233.44.15.9              	129.174.131.51/32        	64.57.28.241      	  1139
233.56.12.2              	131.128.93.40/32         	64.57.28.249      	   199
233.56.12.2              	131.128.93.40/32         	64.57.28.242      	   200
233.56.12.2              	131.128.93.40/32         	162.252.70.254    	   198
