Group	Source	Router	Packets/Second
224.2.127.254		147.32.132.122/32		64.57.28.242		108
232.223.222.6		193.17.9.3/32		162.252.70.240		928
232.223.222.6		193.17.9.3/32		64.57.28.243		1140
233.1.14.15		198.116.200.37/32		162.252.70.226		167
233.1.14.9		198.116.200.36/32		162.252.70.226		167
233.10.47.5		193.87.0.250/32		162.252.70.235		664
233.10.47.5		193.87.0.250/32		162.252.70.236		664
233.10.47.5		193.87.0.250/32		64.57.28.250		663
233.10.47.5		193.87.0.250/32		64.57.28.247		664
233.10.47.5		193.87.0.250/32		162.252.70.243		663
233.10.47.5		193.87.0.250/32		162.252.70.254		663
233.10.47.73		194.160.9.4/32		64.57.28.247		426
233.10.47.73		194.160.9.4/32		162.252.70.236		426
233.10.47.73		194.160.9.4/32		162.252.70.243		426
233.10.47.73		194.160.9.4/32		162.252.70.254		426
233.10.47.73		194.160.9.4/32		64.57.28.250		426
233.10.47.73		194.160.9.4/32		64.57.28.241		426
233.10.47.73		194.160.9.4/32		162.252.70.235		426
233.44.15.9		129.174.131.51/32		162.252.70.233		1139
233.44.15.9		129.174.131.51/32		162.252.70.254		1139
233.44.15.9		129.174.131.51/32		64.57.28.242		1139
233.44.15.9		129.174.131.51/32		64.57.28.241		1139
